cell_name,ACTB,ACTG1,AMOT,ANTXR2,AREG,ATF4,ATG16L1,BRCA1,BUB1,BUB1B,CACNA2D2,CASP10,CCND2,CDC7,CDK6,CDKN2A,COL1A1,CRKL,CTSF,CTSL,CTSS,DGKE,DUSP2,DUSP5,EFNA2,EGFR,EIF2S1,ERN1,EXO1,GBP2,HOMER2,HSP90AA1,IKBKB,IL6R,IMPA1,INPP5A,IPPK,ITGA11,ITGAV,ITGB1,JAG1,LAMA3,LAMC2,LIN9,MAD2L1,MAP2K1,MCL1,MCM2,MCM6,MCU,MECOM,MLH3,MRAS,MTMR1,NFATC3,NGF,NLRP1,NRAS,OAS1,PGAM5,PI4K2A,PIK3CB,PIKFYVE,PLCD1,PLK4,POLD3,POLK,PPIP5K1,PPP2CA,PRKDC,PTEN,RASA2,RASGRF1,RBL1,RFC2,RFC3,RNASEH1,RPA1,RPA2,RPS6KA3,SERPINB5,SERPINE1,SESN2,SGK1,SNAI2,SPP1,SSBP1,TAB3,TBK1,TFDP1,TFRC,TGFA,TRPM7,TTK,TUBA4A,VDAC2,VDAC3,YWHAQ,YWHAZ,ACVR2A,ADORA2B,APC,CCNE2,CDK7,CNR1,CUL1,EGF,GADD45A,IGFBP3,LIN54,MYC,ORC6,PIK3R3,PLK3,PPID,RALB,RAPGEF4,SLC2A1,SMAD9,TOP2A,FGF1,IL6R
Case,0.350196325,0.272896482,0.763656666,0.039799976,0.037164518,0.228290402,0.193614849,0.231683896,0.287081766,0.137733715,0.786256981,0.652841379,0.211970695,0.21353401,0.154043744,0.325995392,0.732806625,0.698868201,0.729362334,0.299856538,0.185357435,0.245487154,0.239134781,0.139795222,0.673328674,0.155379608,0.270522337,0.297123085,0.30361161,0.668091653,0.176242293,0.283204829,0.282515593,0.681267277,0.286483338,0.252961657,0.25334424,0.649052453,0.254016857,0.224585662,0.266973082,0.255697681,0.07955686,0.217529235,0.332629932,0.22711862,0.256049108,0.211159158,0.221940378,0.272186813,0.01369248,0.183346505,0.647229192,0.291622563,0.291806583,0.201042872,0.228209944,0.667957073,0.70740893,0.287914371,0.294680849,0.27636885,0.169449009,0.63275921,0.252279478,0.28328715,0.245731815,0.290066896,0.302317839,0.274709655,0.093816036,0.270205859,0.684435204,0.254596578,0.301917132,0.176299306,0.26436481,0.219660796,0.290806267,0.153342726,0.044179609,0.137342039,0.236952525,0.247879108,0.213630382,0.230640111,0.307413727,0.29599548,0.250576889,0.256566213,0.260620801,0.294536207,0.222380677,0.183994003,0.235227785,0.339008068,0.283796714,0.358796125,0.248186957,0.28509689,0.285163328,0.158381283,0.168965172,0.301650943,0.680092315,0.265909173,0.229314965,0.157540886,0.290234286,0.252088319,0.241570427,0.244233721,0.670743005,0.168859721,0.281583287,0.284386464,0.740976158,0.28730761,0.75611362,0.193476634,0.271427285,0.681267277
Control,0.649803675,0.727103518,0.236343334,0.960200024,0.962835482,0.771709598,0.806385151,0.768316104,0.712918234,0.862266285,0.213743019,0.347158621,0.788029305,0.78646599,0.845956256,0.674004608,0.267193375,0.301131799,0.270637666,0.700143462,0.814642565,0.754512846,0.760865219,0.860204778,0.326671326,0.844620392,0.729477663,0.702876915,0.69638839,0.331908347,0.823757707,0.716795171,0.717484407,0.318732723,0.713516662,0.747038343,0.74665576,0.350947547,0.745983143,0.775414338,0.733026918,0.744302319,0.92044314,0.782470765,0.667370068,0.77288138,0.743950892,0.788840842,0.778059622,0.727813187,0.98630752,0.816653495,0.352770808,0.708377437,0.708193417,0.798957128,0.771790056,0.332042927,0.29259107,0.712085629,0.705319151,0.72363115,0.830550991,0.36724079,0.747720522,0.71671285,0.754268185,0.709933104,0.697682161,0.725290345,0.906183964,0.729794141,0.315564796,0.745403422,0.698082868,0.823700694,0.73563519,0.780339204,0.709193733,0.846657274,0.955820391,0.862657961,0.763047475,0.752120892,0.786369618,0.769359889,0.692586273,0.70400452,0.749423111,0.743433787,0.739379199,0.705463793,0.777619323,0.816005997,0.764772215,0.660991932,0.716203286,0.641203875,0.751813043,0.71490311,0.714836672,0.841618717,0.831034828,0.698349057,0.319907685,0.734090827,0.770685035,0.842459114,0.709765714,0.747911681,0.758429573,0.755766279,0.329256995,0.831140279,0.718416713,0.715613536,0.259023842,0.71269239,0.24388638,0.806523366,0.728572715,0.318732723
